state,hours
AK,55
AK,40
AK,40
AK,40
AK,40
AK,40
AK,5
AK,40
AK,38
AK,60
AK,60
AK,40
AK,20
AK,40
AK,84
AK,60
AK,40
AK,38
AK,36
AK,60
AK,4
AK,50
AK,77
AK,40
AK,32
AK,40
AK,24
AK,45
AK,40
AK,60
AK,45
AK,40
AK,40
AK,40
AK,84
AK,45
AK,20
AK,45
AK,40
AK,35
AK,40
AK,40
AK,50
AK,40
AK,3
CA,32
CA,40
CA,40
CA,99
CA,99
CA,40
CA,40
CA,24
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,2
CA,40
CA,40
CA,40
CA,40
CA,35
CA,45
CA,35
CA,40
CA,35
CA,40
CA,40
CA,40
CA,40
CA,38
CA,40
CA,40
CA,50
CA,60
CA,40
CA,40
CA,40
CA,50
CA,35
CA,45
CA,40
CA,40
CA,30
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,50
CA,50
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,45
CA,45
CA,40
CA,40
CA,30
CA,40
CA,40
CA,40
CA,40
CA,15
CA,45
CA,40
CA,30
CA,40
CA,8
CA,10
CA,40
CA,40
CA,24
CA,30
CA,40
CA,20
CA,40
CA,39
CA,80
CA,40
CA,40
CA,20
CA,40
CA,40
CA,40
CA,40
CA,40
CA,50
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,50
CA,40
CA,38
CA,40
CA,40
CA,40
CA,40
CA,30
CA,40
CA,20
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,42
CA,38
CA,40
CA,10
CA,10
CA,50
CA,40
CA,40
CA,40
CA,40
CA,40
CA,15
CA,12
CA,40
CA,80
CA,30
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,50
CA,40
CA,40
CA,40
CA,40
CA,40
CA,72
CA,5
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,25
CA,40
CA,50
CA,40
CA,30
CA,12
CA,36
CA,40
CA,40
CA,45
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,25
CA,40
CA,40
CA,50
CA,16
CA,40
CA,40
CA,2
CA,20
CA,35
CA,20
CA,30
CA,40
CA,40
CA,40
CA,40
CA,40
CA,30
CA,40
CA,40
CA,50
CA,50
CA,20
CA,20
CA,50
CA,40
CA,40
CA,16
CA,40
CA,40
CA,25
CA,40
CA,30
CA,50
CA,40
CA,30
CA,50
CA,60
CA,40
CA,40
CA,40
CA,40
CA,20
CA,40
CA,40
CA,40
CA,16
CA,20
CA,38
CA,20
CA,40
CA,40
CA,40
CA,40
CA,20
CA,20
CA,40
CA,40
CA,30
CA,50
CA,40
CA,40
CA,40
CA,12
CA,40
CA,40
CA,40
CA,27
CA,40
CA,30
CA,40
CA,40
CA,30
CA,40
CA,25
CA,36
CA,50
CA,40
CA,40
CA,40
CA,40
CA,20
CA,40
CA,32
CA,28
CA,40
CA,40
CA,60
CA,48
CA,45
CA,40
CA,40
CA,40
CA,40
CA,45
CA,9
CA,40
CA,45
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,55
CA,40
CA,5
CA,30
CA,40
CA,40
CA,10
CA,40
CA,40
CA,40
CA,40
CA,40
CA,20
CA,40
CA,40
CA,40
CA,40
CA,40
CA,20
CA,24
CA,40
CA,60
CA,40
CA,40
CA,20
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,50
CA,20
CA,23
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,60
CA,40
CA,24
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,84
CA,40
CA,40
CA,40
CA,50
CA,45
CA,40
CA,24
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,32
CA,32
CA,40
CA,40
CA,40
CA,40
CA,32
CA,40
CA,45
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,25
FL,40
FL,24
FL,36
FL,20
FL,40
FL,35
FL,40
FL,40
FL,60
FL,70
FL,30
FL,50
FL,40
FL,60
FL,65
FL,30
FL,40
FL,40
FL,32
FL,60
FL,40
FL,12
FL,40
FL,16
FL,16
FL,16
FL,40
FL,40
FL,40
FL,40
FL,40
FL,30
FL,36
FL,40
FL,60
FL,40
FL,40
FL,36
FL,40
FL,40
FL,40
FL,40
FL,40
FL,20
FL,40
FL,40
FL,40
FL,40
FL,40
FL,50
FL,40
FL,99
FL,40
FL,40
FL,40
FL,40
FL,40
FL,8
FL,40
FL,40
FL,40
FL,40
FL,40
FL,30
FL,40
FL,40
FL,40
FL,40
FL,32
FL,30
FL,40
FL,40
FL,40
FL,40
FL,27
FL,40
FL,80
FL,40
FL,50
FL,70
FL,45
FL,20
FL,40
FL,40
FL,40
FL,40
FL,40
FL,40
FL,40
FL,45
FL,45
FL,40
FL,20
FL,35
FL,40
FL,52
FL,40
FL,25
FL,40
FL,45
FL,24
FL,35
FL,40
FL,40
FL,40
FL,40
FL,40
FL,10
FL,50
FL,40
FL,40
FL,36
FL,25
FL,50
FL,60
FL,8
FL,50
FL,40
FL,50
FL,40
FL,25
FL,30
FL,45
FL,40
FL,45
FL,40
FL,40
FL,25
FL,40
FL,40
FL,40
FL,40
FL,40
FL,60
FL,40
FL,40
FL,40
FL,40
FL,40
FL,32
FL,40
FL,50
FL,50
FL,45
FL,40
FL,40
FL,40
FL,42
FL,60
FL,34
FL,40
FL,40
FL,40
FL,40
FL,40
FL,40
FL,20
FL,35
FL,30
FL,40
FL,40
FL,40
FL,40
FL,40
FL,40
FL,40
FL,30
FL,40
FL,30
FL,40
FL,40
FL,40
FL,40
FL,40
FL,40
FL,20
FL,40
FL,40
FL,40
FL,40
FL,45
FL,40
FL,45
FL,40
FL,40
FL,40
FL,40
FL,24
FL,40
FL,40
FL,40
FL,40
FL,40
FL,40
FL,60
FL,20
HI,40
HI,40
HI,40
HI,40
HI,12
HI,30
HI,38
HI,25
HI,4
HI,60
HI,40
HI,40
HI,40
HI,40
HI,40
HI,35
HI,40
HI,40
HI,40
HI,40
HI,40
HI,40
HI,25
HI,37
HI,40
HI,40
HI,36
HI,40
HI,60
HI,40
HI,20
HI,40
HI,40
HI,37
HI,20
HI,40
HI,40
HI,40
HI,40
HI,40
HI,32
HI,38
HI,40
HI,40
HI,40
HI,40
HI,40
HI,40
HI,40
HI,25
HI,40
HI,40
HI,15
HI,40
HI,40
HI,40
HI,40
HI,35
HI,40
HI,4
HI,40
HI,40
HI,40
NV,30
NV,40
NV,40
NV,40
NV,40
NV,38
NV,40
NV,3
NV,40
NV,50
NV,40
NV,40
NV,30
NV,40
NV,40
NV,40
NV,40
NV,16
NV,40
NV,40
NV,40
NV,40
NV,28
NV,40
NV,80
NV,40
NV,40
NV,45
NV,40
NV,40
NV,40
NV,40
NV,40
NV,50
NV,40
NV,40
NV,50
NV,30
NV,40
NV,40
NV,20
NV,40
NV,40
NV,40
NV,40
NV,40
NV,40
NV,40
NV,32
NV,40
NV,40
AK,60
AK,40
AK,40
AK,40
AK,10
AK,50
AK,40
AK,40
AK,40
AK,40
AK,40
AK,40
AK,20
AK,40
AK,40
AK,45
AK,20
AK,40
AK,45
AK,82
AK,10
AK,10
AK,40
AK,40
AK,37
AK,8
AK,40
AK,40
AK,45
AK,45
AK,45
AK,40
AK,40
AK,40
AK,20
AK,40
AK,40
CA,60
CA,50
CA,40
CA,40
CA,60
CA,40
CA,20
CA,50
CA,40
CA,25
CA,40
CA,40
CA,40
CA,40
CA,32
CA,40
CA,40
CA,40
CA,40
CA,40
CA,38
CA,40
CA,40
CA,46
CA,40
CA,40
CA,45
CA,50
CA,40
CA,45
CA,45
CA,50
CA,40
CA,40
CA,40
CA,40
CA,15
CA,40
CA,40
CA,40
CA,60
CA,45
CA,40
CA,40
CA,60
CA,45
CA,65
CA,40
CA,23
CA,8
CA,40
CA,25
CA,42
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,50
CA,40
CA,35
CA,40
CA,40
CA,40
CA,40
CA,25
CA,40
CA,40
CA,40
